,acc-fidelity+@0.8-neg,acc-fidelity+@0.7-neg,acc-fidelity+@0.6-neg,acc-fidelity+@0.5-neg,acc-fidelity+@0.4-neg,acc-fidelity+@0.3-neg,acc-fidelity+@0.2-neg,clf_acc,clf_auc,mean_fid
vgib_0,0.17326056957244873,0.10231923311948776,0.053206004202365875,0.009549795649945736,0.0,-0.004092769231647253,-0.004092769231647253,0.9890948534011841,0.9979684352874756,0.0
vgib_1,0.30150067806243896,0.35879945755004883,0.3165075182914734,0.2360163778066635,0.1582537591457367,0.045020464807748795,-0.001364256488159299,0.994547426700592,0.9996367692947388,0.0
vgib_2,0.21145975589752197,0.1718963235616684,0.10095497965812683,0.035470668226480484,0.012278308160603046,-0.001364256488159299,-0.005457025952637196,0.9923664331436157,0.9992955923080444,0.0
vgib_3,0.2360163778066635,0.20463846623897552,0.11596179753541946,0.05457025766372681,0.012278308160603046,0.002728512976318598,-0.002728512976318598,0.9967284798622131,0.9989990592002869,0.0
vgib_4,0.22100955247879028,0.18008185923099518,0.13233287632465363,0.06957708299160004,0.025920873507857323,0.001364256488159299,-0.002728512976318598,0.9956379532814026,0.9998220205307007,0.0
vgib_5,0.17735333740711212,0.13506139814853668,0.08321964740753174,0.032742153853178024,0.010914051905274391,0.002728512976318598,0.0,0.9858233332633972,0.9984281659126282,0.0
vgib_6,0.22783082723617554,0.21145975589752197,0.13915416598320007,0.06275580078363419,0.016371076926589012,-0.002728512976318598,-0.002728512976318598,0.9956379532814026,0.9997850656509399,0.0
vgib_7,0.2401091456413269,0.21828103065490723,0.13642564415931702,0.07503410428762436,0.042291950434446335,0.005457025952637196,-0.001364256488159299,0.9956379532814026,0.9998961687088013,0.0
vgib_8,0.23465211689472198,0.20600272715091705,0.12551160156726837,0.06684856861829758,0.020463846623897552,0.004092769231647253,-0.002728512976318598,0.9923664331436157,0.9997182488441467,0.0
vgib_9,0.2619372308254242,0.18826739490032196,0.12141882628202438,0.040927693247795105,0.013642564415931702,0.0,-0.004092769231647253,0.9967284798622131,0.9998146891593933,0.0
vgib_avg,0.22851295918226242,0.19768076464533807,0.13246930614113808,0.06834925031289459,0.03124147392809391,0.005320600373670459,-0.0027285129297524692,0.9934569299221039,0.9993364214897156,0.0
vgib_std,0.03562381611683923,0.06385084697439707,0.0663888510202745,0.059110104033246416,0.043632541847237326,0.01353917191365227,0.0014944680630663923,0.003413850112358978,0.0006345818022089453,0.0
