,exp_auc,acc-fidelity+@0.2-all,acc-fidelity+@0.3-all,acc-fidelity+@0.4-all,acc-fidelity+@0.5-all,acc-fidelity+@0.6-all,acc-fidelity+@0.7-all,acc-fidelity+@0.8-all,acc-fidelity+@0.2-pos,acc-fidelity+@0.3-pos,acc-fidelity+@0.4-pos,acc-fidelity+@0.5-pos,acc-fidelity+@0.6-pos,acc-fidelity+@0.7-pos,acc-fidelity+@0.8-pos,acc-fidelity+@0.2-neg,acc-fidelity+@0.3-neg,acc-fidelity+@0.4-neg,acc-fidelity+@0.5-neg,acc-fidelity+@0.6-neg,acc-fidelity+@0.7-neg,acc-fidelity+@0.8-neg,clf_acc,clf_auc,mean_fid
vgib_0,0,0.1821156,0.166848421,0.158124313,0.150490731,0.137404576,0.164667398,0.194111228,0.923913062,0.836956501,0.788043499,0.701086938,0.532608688,0.402173907,0.201086953,-0.004092769,-0.001364256,0,0.012278308,0.038199183,0.105047747,0.192360163,0.989094853,0.997968435,0.164823181
vgib_1,0,0.137404576,0.092693567,0.141766638,0.206106871,0.283533275,0.293347865,0.212649941,0.701086938,0.298913032,0.135869563,0.059782609,0.032608695,0.005434783,-0.005434783,-0.004092769,0.040927693,0.143246934,0.242837653,0.346521139,0.365620732,0.267394274,0.994547427,0.999636769,0.195357533
vgib_2,0,0.147219196,0.100327156,0.078516901,0.078516901,0.106870227,0.162486374,0.190839693,0.75,0.510869563,0.364130437,0.293478251,0.190217391,0.081521742,0.038043477,-0.004092769,-0.002728513,0.006821282,0.024556616,0.085948162,0.182810366,0.229195088,0.992366433,0.999295592,0.123539492
vgib_3,0,0.152671754,0.101417668,0.090512544,0.087241001,0.117775351,0.154852778,0.175572515,0.771739125,0.510869563,0.391304344,0.25,0.168478265,0.097826086,0.027173912,-0.002728513,-0.001364256,0.015006822,0.046384722,0.105047747,0.169167802,0.212824017,0.99672848,0.998999059,0.125720516
vgib_4,0,0.155943289,0.083969466,0.067611776,0.08615049,0.139585599,0.179934576,0.196292251,0.788043499,0.407608688,0.228260875,0.130434781,0.065217391,0.021739131,0,-0.002728513,0.002728513,0.027285129,0.075034104,0.158253759,0.219645292,0.245566159,0.995637953,0.999822021,0.129926778
vgib_5,0,0.147219196,0.095965102,0.070883319,0.082878955,0.107960738,0.135223553,0.128680483,0.739130437,0.472826093,0.298913032,0.222826093,0.125,0.043478262,-0.027173912,-0.001364256,0.001364256,0.013642564,0.047748975,0.103683494,0.158253759,0.167803541,0.985823333,0.998428166,0.109830192
vgib_6,0,0.157033801,0.106870227,0.091603056,0.088331513,0.116684839,0.157033801,0.193020716,0.793478251,0.527173936,0.391304344,0.255434781,0.146739125,0.076086953,0.027173912,-0.002728513,0.001364256,0.016371077,0.046384722,0.109140515,0.177353337,0.234652117,0.995637953,0.999785066,0.130082565
vgib_7,0,0.138495088,0.068702288,0.054525629,0.076335877,0.125408947,0.1821156,0.196292251,0.695652187,0.298913032,0.157608703,0.086956523,0.038043477,0.038043477,0,-0.001364256,0.010914052,0.028649386,0.073669851,0.147339702,0.218281031,0.245566159,0.995637953,0.999896169,0.120267954
vgib_8,0,0.145038173,0.092693567,0.075245366,0.079607412,0.095965102,0.149400219,0.170119956,0.739130437,0.467391312,0.331521749,0.195652172,0.086956523,0.032608695,-0.005434783,-0.004092769,-0.001364256,0.010914052,0.05047749,0.098226465,0.178717598,0.214188263,0.992366433,0.999718249,0.115438542
vgib_9,0,0.154852778,0.08615049,0.0697928,0.093784079,0.126499459,0.173391491,0.209378406,0.788043499,0.423913032,0.266304344,0.217391297,0.119565219,0.081521742,0.038043477,-0.004092769,0.001364256,0.020463847,0.062755801,0.128240108,0.196452931,0.252387434,0.99672848,0.999814689,0.130549929
vgib_avg,0,0.151799345,0.099563795,0.089858234,0.102944383,0.135768811,0.175245366,0.186695744,0.769021744,0.475543475,0.335326089,0.241304345,0.150543477,0.088043478,0.029347825,-0.00313779,0.005184175,0.028240109,0.068212824,0.132060027,0.19713506,0.226193722,0.99345693,0.999336421,0.134553668
vgib_std,0,0.012023366,0.024632311,0.031947365,0.039976471,0.050917132,0.041608589,0.022910107,0.061210715,0.14336396,0.173488788,0.169251377,0.136888568,0.108527041,0.06082102,0.001065518,0.012455893,0.039209264,0.061090668,0.078146534,0.064071415,0.028445974,0.00341385,0.000634582,0.024598453
